image,question
test_0438,Is an opened peritoneal cavity cause by fibrous band strangulation present?
test_0752,Is hematologic present?
test_0181,Is periodic acid-schiff shown on the right in this four-chamber view?
test_0369,Is respiratory present?
test_0630,Are extremities present?
test_0234,Does conventional chondrosarcoma entrap native lamellar bone as a confluent mass of cartilage?
test_0593,Is the excellent uterus in picture and thus illustrates the very large size of the ovarian tumor?
test_0231,Is Each fibril further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?
test_0974,Is polycystic disease present?
test_0236,Are the vesselwall filled with blood clot?
test_0751,Is gastrointestinal present?
test_0957,Does this image show interstitial infiltrate well shown not the best morphology?
test_0901,Does this image show excellent showing lesion just beneath epidermis with pigmented and non-pigmented cells?
test_0862,Is vasculature present?
test_0855,Does this image show gram negative septicemia due to scalp electrode in a neonate?
test_0653,Does this image show pas-alcian blue?
test_0236,Does c result around 7th day result in scar tissue at the sites of incision and suture track?
test_0675,Does this image show splenic infarcts?
test_0482,Is subdiaphragmatic abscess present?
test_0765,Is sideroblasts present?
test_0275,"Are the periphery large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?"
test_0565,Is endocrine present?
test_0588,Is female reproductive present?
test_0167,"Are the histone subunits positively charged,  thus allowing the compaction of the negatively charged DNA?"
test_0565,Does angiogram show parathyroid adenoma?
test_0932,Is hepatobiliary present?
test_0907,Is muscle present?
test_0076,Does mall show characteristic lining of the cyst wall by epidermis and its appendages?
test_0544,Is polycystic disease infant present?
test_0371,"Does pancreas show lung, multinucleated foreign body giant cell?"
test_0586,Is female reproductive present?
test_0478,Does case of peritonitis slide illustrate pus from the peritoneal cavity?
test_0698,Does saggital section typical show cystic fibrosis?
test_0866,Is cardiovascular present?
test_0882,Is this photo of infant from head to toe present?
test_0438,Does pituitary show fixed tissue nice close-up view of cortical nodules?
test_0274,"Is proliferative breast disease characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?"
test_0966,"Does infant body show heart, polyarteritis nodosa?"
test_0465,Does nodule show normal ovary?
test_0895,Does chronic myelogenous leukemia show organism?
test_0706,"Does brain, cryptococcal meningitis, pas show pancreatic fat necrosis?"
test_0470,Is uterus present?
test_0382,"Is bone, calvarium present?"
test_0549,Does this image show single large lesion quite good?
test_0382,Does this image show close-up of linear fracture very well?
test_0454,Is adrenal present?
test_0367,Is respiratory present?
test_0900,Does this image show panniculitis and fascitis?
test_0465,Does this image show normal ovary?
test_0422,Does this image show normal lung?
test_0059,Does the upper pole of the kidney show a large and tan mass while rest of the kidney has reniform contour?
test_0762,Is bone marrow present?
test_0191,Are glands cut in cross-section?
test_0414,"Does this image show hilar lymph nodes, nodular sclerosing hodgkins disease and diffuse alveolar damage with hemorrhagic pneumonia?"
test_0627,Does this image show good example source of gout?
test_0495,Is subdiaphragmatic abscess present?
test_0973,Does retroperitoneal liposarcoma show saphenous vein graft sclerosis?
test_0372,"Was talc used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?"
test_0365,"Does neurofibrillary change show lung, infarct, acute and organized?"
test_0989,Does anencephaly show vasculitis?
test_0461,Does this image show section through thyroid and trachea apparently?
test_0596,Does lower chest and abdomen anterior show necrotic central mass with thin fibrous capsule not all that typical 91yo?
test_0373,"Was talc used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?"
test_0279,Are FISH using a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma associated with specific molecular lesions?
test_0637,"Does this image show kidney, normal histology?"
test_0052,Are metastatic lesions distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?
test_0175,Is thalassaemia and hbd endarteritis and periarteritis of the vasa vasorum in the media and adventitia?
test_0641,"Does this fixed tissue show squamous metaplasia, renal pelvis due to nephrolithiasis?"
test_0942,Is hepatobiliary present?
test_0256,"Did the cause of reversible injury show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?"
test_0220,Does the apex show coagulative necrosis and submucosal haemorrhages?
test_0730,Does cortical nodule show tunica propria granulomas?
test_0018,"Is a myofiber distended with trypanosomes infiltrated with lymphocytes and some plasma cells,  which are spilling over into alveolar spaces?"
test_0390,Does this image show close-up view of hemorrhagic excavation quite good?
test_0981,Is cardiovascular present?
test_0927,Is hepatobiliary present?
test_0837,Is toxic epidermal necrolysis present?
test_0309,Is classification of chromosomes base on size and location of centromere?
test_0968,Is cardiovascular present?
test_0496,Is stillborn macerated present?
test_0316,Is the gastric wall markedly thickened?
test_0456,"Does this image shows of smooth muscle cell with lipid in sarcoplasm and lipid show adrenal, metastatic gastric carcinoma, diffuse?"
test_0607,Is breast present?
test_0748,Is whipples disease present?
test_0969,Is cardiovascular present?
test_0540,"Does this image show kidney, obliterative endarteritis - sclerodema?"
test_0560,Is slide present?
test_0888,Does sebaceous cyst show skin?
test_0460,Does myocardium show fixed tissue but good color gland not recognizable as such?
test_0257,Are methylation of particular histone residues illustrated?
test_0126,Does necrosis fuse with the plasma membrane of the host cell?
test_0970,"Does an opened peritoneal cavity cause by fibrous band strangulation show heart, fibrosis, chronic rheumatic heart disease?"
test_0599,Does serous cyst show massive lesion taken at surgery size of basketball very good?
test_0488,Is cardiovascular present?
test_0741,Is whipples disease present?
test_0835,Does hearts ecchymose with central necrosis?
test_0885,Does this image show normal cardiovascular?
test_0153,Is congo red staining also seen in the photomicrograph?
test_0557,Is endocrine present?
test_0600,Does interesting case show cut surface 4 cm lesion 76yobf?
test_0063,Are particles at the end of the smear seen surrounding respiratory bronchioles?
test_0226,Do the whorls composed of the smooth muscle cells and fibroblasts show osseous metaplasia in the centre?
test_0843,Is close-up of typical lesions perspective of elevated pasted on lesions well shown?
test_0739,Is whipples disease present?
test_0366,Is respiratory present?
test_0755,Is subdiaphragmatic abscess present?
test_0865,Is cardiovascular present?
test_0883,Is lesion present?
test_0761,Is dysplastic present?
test_0495,Is capillary present?
test_0881,Is cardiovascular present?
test_0691,"Does pus in test tube show spleen, chronic congestion due to portal hypertension from cirrhosis, hcv?"
test_0387,Does all the fat necrosis show frontal sinuses inflammation and pus well shown?
test_0841,Do thermal burn?
test_0525,Is tuberculosis present?
test_0197,Does the lumen show characteristic transverse ulcers and two strictures?
test_0865,Is vasculature present?
test_0598,Does this image show close-up of cut surface of cervical myoma which is shown in relation to cervix and vagina?
test_0179,Are hundreds of small colonic polyps present along with a dominant polyp (right)?
test_0734,"Does fetus developing very early show intestine, leiomyoma?"
test_0065,Is gamna-gandy body also seen?
test_0197,Is the wall of intestine in the area of narrowed lumen thickened?
test_0982,Does lateral view show polyarteritis nodosa?
test_0864,Does this image show coronary artery atherosclerosis?
test_0372,Does serous cystadenoma stain?
test_0548,Does this image show kidney candida abscesses from patient with acute myelogenous leukemia?
test_0742,"Does this image show colon, ulcerative colitis?"
test_0545,Is this photo present?
test_0100,Is there marked concentric thickening of the left ventricular wall causing reduction in lumen size?
test_0377,Is embryo-fetus present?
test_0223,"Does the liver removed at autopsy show a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?"
test_0444,Is intraductal papillomatosis present?
test_0978,Is aorta present?
test_0692,Does amebiasis show pancreatic fat necrosis?
test_0682,Does exostosis show i am not sure of diagnosis?
test_0441,Is metastatic carcinoma present?
test_0831,Is petechiae present?
test_0148,"Dose typical tuberculous granuloma show an area of central necrosis surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?"
test_0061,Is the atrium highlighted in this Warthin-Starry silver stain?
test_0558,Is leiomyosarcoma present?
test_0917,Is hypersegmented neutrophil deformed?
test_0697,Is pancreas present?
test_0766,Is intrauterine contraceptive device present?
test_0980,Is vasculature present?
test_0358,Is respiratory present?
test_0206,Is diagrammatic representation of three forms of arteriolosclerosis seen in hypertension?
test_0612,Is pulmonary osteoarthropathy present?
test_0365,Is respiratory present?
test_0955,Does this image show very good example of normal prostate gland?
test_0975,Is lymphangiomatosis generalized present?
test_0480,Is peritoneum present?
test_0482,Does this image show excellent?
test_0112,Is the tissue discernible in this photomicrograph?
test_0917,Is joints present?
test_0656,Is sac removed easily seen air bubbles?
test_0568,Is side present?
test_0682,Is blood present?
test_0972,"Does this image show heart, myocardial infarction, wavey fiber change, necrtosis, hemorrhage, and dissection?"
test_0862,Is cardiovascular present?
test_0912,Is joints present?
test_0857,Is Anencephaly present?
test_0616,Is hand present?
test_0588,Is heart present?
test_0652,"Does this image show kidney, arteriolonephrosclerosis, malignant hypertension?"
test_0450,Is endocrine present?
test_0498,"Does supernumerary digit show stress ulcers, stomach?"
test_0844,Is polycystic Disease of Kidneys present?
test_0962,"Does this image show prostate, normal histology?"
test_0605,Is fallopian tube present?
test_0190,"Is the right ventricle marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?"
test_0678,Does side show close-up view of vertebral marrow not too spectacular discs are well shown and normal also entered into this file as normal discs slide?
test_0876,Is slide present?
test_0627,Are slices of liver and spleen typical tuberculous exudate is present on capsule of liver and spleen present?
test_0372,Does trichrome stain?
test_0979,Does this image show atherosclerosis?
test_0545,Is renal cell carcinoma present?
test_0733,Is gastrointestinal present?
test_0491,Is this photo of infant from head to toe present?
test_0846,"Does this image show hand, gunshot entrance wound, intermediate range, powder burns freckling?"
test_0360,Is respiratory present?
test_0843,Does craniopharyngioma show close-up of typical lesions perspective of elevated pasted on lesions is well shown?
test_0368,"Does this image show lung, infarct, acute and organized?"
test_0467,Is macerated stillborn present?
test_0551,Is pinworm present?
test_0236,Is there inflammatory response from the margins?
test_0444,"Does this image show thyroid, goiter?"
test_0107,Does adp represent cell cycle for permanent cells?
test_0600,Is sella present?
test_0977,Is cachexia present?
test_0549,Is kidney present?
test_0474,Is acute lymphocytic leukemia present?
test_0221,"Is a nucleolar pattern entrapped in a dense,  onion-skin concentric scar?"
test_0886,Is cardiovascular present?
test_0390,Is multiple myeloma present?
test_0037,Does the granulomatous response show minimal variation in nuclear size and occasional follicle formation?
test_0597,Does this image show view of uterus tubes and ovaries showing large nodular metastatic tumor masses on ovaries?
test_0860,Does this image show x-ray postmortcoronary arteries with multiple lesions?
test_0979,Does adenocarcinoma show atherosclerosis?
test_0306,Do the histone subunits compress the urethra into a slitlike lumen?
test_0673,What scan showing tumor mass invading superior vena ca?
test_0674,Is hematologic present?
test_0085,"Are iseases large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?"
test_0591,Is stillborn macerated present?
test_0655,"How is kidney , microthrombi , disseminated  coagulation ?"
test_0872,Is cardiovascular present?
test_0249,Is there predominance of small round to spindled sarcomatoid tumour cells?
test_0442,Is endocrine present?
test_0941,"Does this image show liver, normal?"
test_0766,Is candida in peripheral blood present?
test_0377,"Is bone, calvarium present?"
test_0028,Does the lesions show an outpouching which on section is seen communicating with the intestinal lumen?
test_0894,Is Sporotrichosis present?
test_0981,"Does mesentery show heart, old myocardial infarction with fibrosis, he?"
test_0902,Does medulloblastoma show scleroderma?
test_0154,Has the nucleus clumped chromatin?
test_0278,Are the cytoplasm normocellular?
test_0605,Does intraductal papillomatosis show fixed tissue of tuberculosis?
test_0988,"Is macerated stillborn spotted fever, immunoperoxidase staining vessels for rickettsia rickettsii?"
test_0236,Is the alveolar septa inflammatory response from the margins?
test_0236,Does the affected part begin from below?
test_0613,Are view looking down on heads present?
test_0599,Is ovary present?
test_0575,Is muscle atrophy present?
test_0914,How is vertebral column with well shown  lesions ?
test_0457,Is angiogram present?
test_0202,Did the areas of white chalky deposits overlie white fibrous scar?
test_0510,Is normal ovary present?
test_0965,Is very good example present?
test_0199,Is mild degree of liver cell necrosis seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?
test_0599,Is mucinous cystadenocarcinoma present?
test_0761,Is spleen present?
test_0982,Is marfans syndrome present?
test_0753,Is acute myelogenous leukemia present?
test_0567,Is natural color present?
test_0980,Is conjoined twins present?
test_0252,Does infarcted area show ghostal veoli filled with blood?
test_0144,Does a peripheral blood smear show a hyper-segmented neutrophil with a six-lobed nucleus?
test_0556,"Does this image show colon, cryptosporidia?"
test_0729,Does this image show carcinoma on peritoneal side of muscularis?
test_0534,Is tuberculosis present?
test_0248,Does the inset on right side of each type show the morphologic variant of RS cell seen more often in particular histologic type?
test_0528,Does this image show stomach primary?
test_0648,Is kidney present?
test_0893,Does this image show thermal burned skin?
test_0477,Does this image show opened peritoneal cavity showing cecum and appendix on left side?
test_0561,Is papillary intraductal adenocarcinoma present?
test_0625,Does this image show club feet with marked talipes equinovarus?
test_0558,Is peritoneal fluid present?
test_0983,"Does this image show heart, acute myocardial infarction, he?"
test_0614,Are extremities present?
test_0570,Was pus in test tube empty case of type i diabetes with pituitectomy for retinal lesions 9 years?
test_0253,Are the areas of white chalky deposits shown?
test_0372,Is respiratory present?
test_0211,Are the amyloid deposits mainly in the glomerular capillary tuft stain red-pink Congophilia?
test_0988,"What spotted fever , immunoperoxidase staining vessels for rickettsia rickettsii ?"
test_0618,Does this image show 22wf juvenile rheumatoid arthritis mild deformity with high arch?
test_0766,Does band constriction in skin above ankle of infant show wrights?
test_0556,Is gastrointestinal present?
test_0440,"Does sacrococcygeal teratoma show thyroid, hashimotos?"
test_0100,Are the left ventricle and left atrium shown on the right in this four-chamber view of the heart?
test_0100,Is low-power view of a cross section of a skin blister showing the epidermis marked concentric thickening of the left ventricular wall causing reduction in lumen size?
test_0682,Is thymus present?
test_0232,"Does some long-lived resident tissue macrophages show well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?"
test_0577,Is atherosclerosis present?
test_0616,Does malignant adenoma show simian crease?
test_0856,Is Conjoined Twins Cephalothoracopagus Janiceps present?
test_0595,Is adenoma present?
test_0884,Is cardiovascular present?
test_0009,Is tumor composed of nests of basaloid cells infiltrating a fibrotic stroma?
test_0689,Is normal immature infant present?
test_0838,Does this image show cellulitis?
test_0702,Does endometritis show islet cell carcinoma?
test_0885,Does intraductal papillomatosis with apocrine metaplasia show normal cardiovascular?
test_0958,Does this image show normal prostate?
test_0654,Is urinary present?
test_0532,Does this image show nice example lymphocyte depleted medullary area?
test_0683,Is pus in test tube present?
test_0571,Is outside adrenal capsule section present?
test_0451,"Does this typical lesion show adrenal, cushing syndrome?"
test_0053,Does the cytoplasm contain progressively less rna and more haemoglobin?
test_0471,Is coronary atherosclerosis present?
test_0494,Is fibrinous peritonitis present?
test_0608,Is breast present?
test_0884,"How many vessel does this image show congestive heart failure, coronary artery disease?"
test_0204,Is a normal axon with a long thick dark myelin internode flanked by nodes of Ranvier?
test_0462,Does this partially fixed gross show normal breast?
test_0574,Does lymphoma show iron stain?
test_0902,Does this image show scleroderma?
test_0807,"Does this image show testes, atrophy?"
test_0169,Does intact show hydropic degeneration and loss of dermoepidermal junction?
test_0392,Is lung present?
test_0549,Is serous cyst present?
test_0915,Is color off?
test_0628,Does this image show very good example of focal necrotizing lesions in distal portion of digit associated with bacterial endocarditis?
test_0469,Is glomerulosa present?
test_0886,Does nodular tumor show normal duct in postmenopausal woman?
test_0876,"Does muscle atrophy show heart slice, acute posterior myocardial infarction in patient with hypertension?"
test_0908,Is joints present?
test_0188,Are the deposits also present in peritubular connective tissue producing atrophic tubules?
test_0755,Does face show typical atrophy associated with infection in newborn?
test_0415,Is cervix duplication present?
test_0458,Is carcinomatosis endometrium primary present?
test_0943,"Does abruption show liver, early chronic passive congestion?"
test_0607,Does retroperitoneal liposarcoma appear benign?
test_0469,Is uterus present?
test_0287,Does cut surface show a very large multilocular cyst without papillae?
test_0460,Is endocrine present?
test_0684,Is malignant adenoma present?
test_0950,Does gms illustrate organisms granulomatous prostatitis aids case?
test_0869,Is cardiovascular present?
test_0367,Does this image show Breast cancer metastasis to lung?
test_0759,Is lateral view present?
test_0623,Are pagets disease present?
test_0160,Is the adrenal cortex yellow and thickened?
test_0211,Do the figure show apple-green birefringence?
test_0608,Does natural color show metastatic choriocarcinoma with extensive vascularization?
test_0307,Do these rigid spherical cells lose their cell membrane further during passage through the spleen?
test_0940,Is fallopian tube present?
test_0870,"Does natural color show heart, recent coronary artery bypass graft?"
test_0373,"Does purulent sinusitis show pleura, talc reaction?"
test_0689,Is endometritis postpartum present?
test_0842,Do yellow color burn?
test_0356,"Does this image show lung, mycobacterium tuberculosis, acid fast?"
test_0316,"Is a binucleate reed-sternberg cell with large,  inclusion-like nucleoli and abundant cytoplasm fold partially lost?"
test_0591,Does angiogram saphenous vein bypass graft show sectioned uterus shown close-up with typical small myomas very good?
test_0840,Does typical tuberculous exudate show cryptococcal dematitis?
test_0265,"Did membranoproliferative glomerulonephritis (MPGN) show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?"
test_0548,Does so-called median bar show kidney candida abscesses from patient with acute myelogenous leukemia?
test_0751,"Does this image show esophagus, herpes, ulcers?"
test_0588,Does beckwith-wiedemann syndrome show opened uterus with adnexa and hemorrhagic mass in ovary?
test_0504,"Does this typical thecoma with yellow foci show stomach, necrotizing esophagitis and gastritis, sulfuric acid ingested as suicide attempt?"
test_0941,Is section of spleen through hilum present?
test_0674,Is hemorrhage in newborn present?
test_0578,Is abdomen present?
test_0126,Does the viral envelope fuse with the plasma membrane of the host cell?
test_0269,Does the basement membrane material protrude?
test_0909,Is joints present?
test_0596,Is left ventricle hypertrophy present?
test_0019,Does silver stain demonstrate cup-shaped and round cysts within the exudate?
test_0631,"Does fetus developing very early show kidney, adult polycystic kidney?"
test_0468,"Does outside adrenal capsule section show cervix, squamous metaplasia?"
test_0988,Does papillary intraductal adenocarcinoma show vasculitis?
test_0871,Is this present?
test_0461,Is carcinoma present?
test_0491,Is cardiovascular present?
test_0065,"Is the necrosed area on right side of the field increased fibrosis in the red pulp, capsule and the trabeculae?"
test_0061,Are iron deposits shown by a special staining process abundant within surface mucus?
test_0497,"Does this image show esophagus, leiomyoma?"
test_0287,Does the anorectal margin show a very large multilocular cyst without papillae?
test_0862,"Does this image show aorta, normal intima?"
test_0486,Is slide present?
test_0247,"Is the arteriolar wall surrounded by eosinophils,  lymphocytes,  and histiocytes?"
test_0027,Is higher-power photomicrograph seen on the posterior aspect (lower left)?
test_0163,Is the basement membrane intact in both?
test_0144,Does the pattern of staining of anti-centromere antibodies show a hyper-segmented neutrophil with a six-lobed nucleus?
test_0580,Does this image show hashimoto 's thyroiditis?
test_0886,Is siamese twins present?
test_0273,Was a gravid uterus removed for postpartum bleeding?
test_0617,Are good example tastefully shown with face out of picture and genitalia present?
test_0461,What had colon carcinoma?
test_0673,Is malignant thymoma present?
test_0703,Does this image show islet cell carcinoma?
test_0573,Is endocrine present?
test_0963,"Does this image show heart, microthrombi, thrombotic thrombocytopenic purpura?"
test_0391,Does this image show view of petrous portion temporal bone rather close-up 22yo man 37 foot fall?
test_0492,Is capillary present?
test_0853,Does acid show gram negative septicemia due to scalp electrode in a neonate?
test_0676,Is spleen present?
test_0231,Is foci of metaplastic squamous epithelium further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?
test_0479,Is retroperitoneal liposarcoma present?
test_0747,"Does this image show stomach, giant rugose hyperplasia?"
test_0752,Is lymphangiomatosis generalized present?
test_0512,"Does malignant adenoma show stomach, giant rugose hypertrophy?"
test_0910,Is soft tissue present?
test_0749,Is esophagus?
test_0585,Is chronic ischemia present?
test_0481,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma?
test_0745,Is adenocarcinoma present?
test_0126,Are the granuloma released into the cytosol?
test_0134,"Is the epidermis studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?"
test_0259,"Does large,  flat cells with small nuclei intersperse primitive tubules,  represent the epithelial component?"
test_0611,Are aldactone bodies present?
test_0441,Is lateral view present?
test_0417,"Does this image show lung, emphysema severe with bullae?"
test_0493,Is lymphangiomatosis generalized present?
test_0476,Is peritoneum present?
test_0358,"Does nodular tumor show lung, diffuse alveolar damage?"
test_0506,Is gastrointestinal present?
test_0764,Is bone marrow present?
test_0470,Does medial aspect show excellent photo of pleomorphic spindle cell tumor with storiform pattern?
test_0440,"Does this image show thyroid, hashimotos?"
test_0605,Does this image show fixed tissue of tuberculosis?
test_0889,Does chromoblastomycosis show migratory thrombophlebitis?
test_0806,Is hyperplasia present?
test_0375,Does this image show external view bilateral cleft palate?
test_0480,Does opened muscle psoa natural color large ovoid typical sarcoma?
test_0913,Is soft tissue present?
test_0748,Is gastrointestinal present?
test_0810,Is penis present?
test_0284,Is the polyp derived from calcitonin molecules secreted by the neoplastic cells?
test_0847,Does peritoneum show lateral view of body with renal facies no neck?
test_0585,Does quite good liver show external view typical appearance?
test_0494,Does this image show skeletal muscle?
test_0376,Does this image show opened scalp to show small cranium inside of boggy edematous scalp?
test_0096,Did gross appearance of longitudinally open appendix showing impacted faecolith in the lumen and exudate on the serosa?
test_0811,Is prostate present?
test_0830,Does yellow color show portion of body with extensive skin desquamation same as in 907?
test_0383,Is temporal muscle hemorrhage present?
test_0976,Is leiomyosarcoma present?
test_0558,Does situs inversus show malignant cells mixed mesodermal tumor of uterus?
test_0063,Are coal macules composed of aggregates of dust-laden macrophages and collagens seen surrounding respiratory bronchioles?
test_0638,Is polycystic disease infant present?
test_0650,Does this image show atn acute tubular necrosis?
test_0474,"Does this image show cervix, squamous metaplasia?"
test_0464,Does this image show sickled maternal cells readily evident?
test_0766,Is hematologic present?
test_0681,Does this image show external view with several tears in capsule?
test_0419,"Does this image show lung fibrosis, scleroderma?"
test_0176,Does Stanford type A involving ascending aorta include includes DeBakey 's type I and II?
test_0571,Does chromophobe adenoma show typical lesion in small artery just outside capsule?
test_0586,Is lower chest and abdomen anterior present?
test_0684,Is chromophobe adenoma present?
test_0361,Does this image show lung?
test_0622,Does this image show simian crease?
test_0689,Is hematologic present?
test_0105,What expands further causing necrosis of the cortex called sequestrum?
test_0608,Does this image show metastatic choriocarcinoma with extensive vascularization?
test_0965,Does carcinomatosis show coronary artery atherosclerosis?
test_0985,Is liver present?
test_0532,Is lymph node present?
test_0573,Does capillary show hashimoto 's thyroiditis?
test_0013,Are the necrotic cells seen?
test_0539,Is kidney present?
test_0461,"Is carcinoma had metastases to lungs, pleura, liver and regional nodes?"
test_0479,How is nodular tumor cut surface natural color  and white typical gross sarcoma ?
test_0358,Is sickle cell disease present?
test_0741,Does normal newborn show pas hematoxylin?
test_0575,Is polyarteritis nodosa present?
test_0760,Do retroperitoneum induce involution in baby with hyaline membrane disease?
test_0849,Does this image show posterior view open cord?
test_0360,Do malignant adenoma stain?
test_0752,Is postpartum present?
test_0615,Does feet show clubbing?
test_0599,Is female reproductive present?
test_0013,Does high magnification surround the neoplastic follicles?
test_0507,"Does autopsy show colon, chronic ulcerative colitis, pseudopolyps?"
test_0577,Is adrenal present?
test_0478,Is abdomen present?
test_0700,Does this image show cystadenoma?
test_0488,Is acute peritonitis present?
test_0509,Is umbilical cord present?
test_0700,Is pancreas present?
test_0600,Does this image show cut surface 4 cm lesion 76yobf?
test_0980,Does this typical lesion show thrombus in leg vein with early organization?
test_0838,Does foot show cellulitis?
test_0600,Is stillborn cord around neck present?
test_0507,Is this good yellow color slide present?
test_0653,Is cytomegalovirus present?
test_0359,"Does this image show lung, congestive heart failure, bone marrow embolus?"
test_0905,Is sectioned femur lesion distal end excellent example?
test_0591,Is Leiomyomas present?
test_0978,Is intraductal papillomatosis present?
test_0467,Is female reproductive present?
test_0511,Is gastrointestinal present?
test_0972,"Does side show heart, myocardial infarction, wavey fiber change, necrtosis, hemorrhage, and dissection?"
test_0384,Is Pierre robin sndrome present?
test_0106,Does sectioned surface show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?
test_0641,"Does this image show squamous metaplasia, renal pelvis due to nephrolithiasis?"
test_0479,Is nodular tumor cut surface natural color yellow and white typical gross sarcoma?
test_0987,Is vasculature present?
test_0644,"Does myocardium show kidney, polyarteritis nodosa?"
test_0969,Is vasculature present?
test_0613,Does breast show marked deformity both legs?
test_0100,Is cohesive tumor in retina presented incidentally in the right ventricle?
test_0590,Does intraductal papillomatosis with apocrine metaplasia show opened uterus polypoid tumor demonstrated?
test_0686,Does this image show cut surface multiple nodular lesions?
test_0127,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?"
test_0417,Is close-up excellent example of interosseous muscle atrophy present?
test_0693,Does this image show pancreatic fat necrosis?
test_0901,Does hilar cell tumor show excellent showing lesion just beneath epidermis with pigmented and non-pigmented cells?
test_0558,Is abdomen present?
test_0438,Is adrenal present?
test_0688,"Does bone, calvarium show sectioned vertebrae with no red marrow case of chronic myelogenous leukemia in blast crisis?"
test_0487,Is marfans syndrome present?
test_0486,Is vasculature present?
test_0850,Does this image show view from back typical example?
test_0613,Is Dysplastic present?
test_0615,Is case of peritonitis slide present?
test_0686,Is purulent sinusitis present?
test_0646,Does good example of muscle atrophy show kidney transplant rejection?
test_0594,Is female reproductive present?
test_0499,"Does this image show small intestine, typhoid?"
test_0626,Are six digits present?
test_0602,Does anomalous origin show gravid uterus?
test_0366,Is there present?
test_0589,Is this partially fixed gross not diagnostic?
test_0308,Is normal testis seen on the right?
test_0105,Does process begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?
test_0444,"Does subdiaphragmatic abscess show thyroid, goiter?"
test_0211,Do the congophilic areas show apple-green birefringence?
test_0052,Are congenital capillary hemangioma at 2 years of age after the lesion distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?
test_0552,Does sacrococcygeal teratoma show hemolytic disease of newborn?
test_0501,"Does case of dic not bad photo show colon, ulcerative colitis, mucosal detail?"
test_0637,"Does anencephaly and bilateral cleft palate show kidney, normal histology?"
test_0873,Is beckwith-wiedemann syndrome present?
test_0453,Is endocrine present?
test_0700,Is nodules present?
test_0369,"Does this image show lung, sarcoidosis, multinucleated giant cells with asteroid bodies?"
test_0513,Is embryo-fetus present?
test_0461,Is thyroid present?
test_0464,Is female reproductive present?
test_0151,"Is flow cytometry surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?"
test_0373,"Does this image show pleura, talc reaction?"
test_0953,Is prostate present?
test_0100,Are this degree of external dysmorphogenesis left atrium shown on the right in this four-chamber view of the heart?
test_0684,Is side present?
test_0551,Is sarcoidosis present?
test_0576,Does this image show hashimoto 's thyroiditis?
test_0549,Is immunostain for growth hormone present?
test_0480,Is an opened peritoneal cavity cause by fibrous band strangulation present?
test_0416,"Does this image show lung fibrosis, scleroderma?"
test_0620,Does this image show necrosis of distal finger in a patient with panniculitis and fascitis?
test_0799,Does this image show acute pancreatitis?
test_0503,Does granulosa cell tumor show normal esophagus?
test_0587,Is sacrococcygeal teratoma present?
test_0980,Does this image show thrombus in leg vein with early organization?
test_0539,Is multiple cysts present?
test_0755,Does this image show typical atrophy associated with infection in newborn?
test_0749,Is metastatic malignant melanoma present?
test_0935,"Does sugar coated show liver and pancreas, hemochromatosis?"
test_0761,Is this photo present?
test_0381,Is granulosa cell tumor easily seen?
test_0110,Is the alveolar septa narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?
test_0676,Does this image show external view of lacerations of capsule apparently done during surgical procedure?
test_0698,"Is cerebrospinal fluid, smear showing gram negative cocci, neisseria meningitidis, gram stain present?"
test_0436,Is eye present?
test_0436,Is myocardial infarct present?
test_0974,"Does this image show leg veins, thrombus?"
test_0603,Does this image show 18 hours after cesarean section?
test_0748,Is autopsy present?
test_0525,Is stein leventhal present?
test_0740,Is polycystic disease present?
test_0195,Does the left ventricular wall show several multinucleate giant cells?
test_0730,Is capillary present?
test_0984,Is Notochord present?
test_0538,Does this image show hydronephrosis?
test_0749,Is the excellent uterus present?
test_0633,"Does this image show kidney, microthrombi, thrombotic thrombocytopenic purpura?"
test_0373,Is this partially fixed gross present?
